E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T11-43-53-396Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T12-08-40-009Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-10T12-09-34-611Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-11-active-task-audit.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-11-task-226-google-workspace-sender-name.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-11T06-45-07-100Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/system-audits/2026-06-11T06-51-36-438Z-task-queue-reconciler.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/README.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/auth-login.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/manifest.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/operations-chrome.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/operations.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/parent-portal.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/provider-onboarding.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/provider-portal.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/public-website.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/screenshot-index.csv	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/student-workspace.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/ui-audits/2026-06-11-full-app-ui-audit/ui-audit-report.md	Not confidently attributable to the focused release; needs Shloimie review.
D	??	ops/ux-audit-runs/2026-06-11-click-map/README.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/actions.csv	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/button-action-audit.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/context-clarity-failures.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/drive-mirror-guide.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/drive-upload.json	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/drive-upload.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/flows.csv	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/implementation-backlog.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/issues.csv	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/manifest.json	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/mobile-audit.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/navigation-map.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/role-workspace-matrix.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/routes.csv	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/screenshot-index.html	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/screenshots.csv	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-click-map/top-findings.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	ops/ux-audit-runs/2026-06-11-drive-screenshot-analysis/implementation-selected.md	Unrelated existing work or historical/generated audit material outside this release.
D	??	public/documents/parent-handbook.html	Content/documentation surface outside the parent/student/provider/action-registry release patch.
D	??	public/images/hillel.jpg	Content/documentation surface outside the parent/student/provider/action-registry release patch.
D	??	public/images/huddle.jpg	Content/documentation surface outside the parent/student/provider/action-registry release patch.
D	??	public/images/meir-bunny.jpg	Content/documentation surface outside the parent/student/provider/action-registry release patch.
D	??	public/images/reuvane-jump-ball.jpg	Content/documentation surface outside the parent/student/provider/action-registry release patch.
E	??	public/js/parent-handbook-page.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/build-laptop-install-package.ps1	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/build-ux-click-map-package.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/correct-audio-parse-2026-06-08.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/full-ui-audit.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/ghl-mcp-stdio.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/ingest-drive-playlist-transcripts.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/rabbi-video-prompt-library.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/railway-start.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/setup-one-time-partnership-drive.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/start-watchdog.ps1	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/sync-drive-content-library.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/task-queue-reconciler.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/update-content-prompts-professional-tone.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/upload-ux-audit-to-drive.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	scripts/video-clip-factory.mjs	Not confidently attributable to the focused release; needs Shloimie review.
E	??	src/lib/ghl/README.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	src/remotion/OrganicClipFactory.tsx	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-google-classroom-worksheet-assignments.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-one-time-ghl-agent-loop.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-one-time-partnership-drive-map.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-organic-clip-factory.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-parent-student-dashboard-registration-followup.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-set-your-son-free-intro-video.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-telegram-ingestion-miss-audit.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-09-warm-leads-and-task-filters.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-10-one-time-external-user-portal-and-ticketing.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-10-one-time-rabbi-meeting-build-brief.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-10-provider-commercial-model-entitlements.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-10-service-provider-directory-and-login.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-10-telegram-goal-board-api-audit.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-10-transcript-wide-source-sheet-production.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tasks-pending/2026-06-11-content-library-v2-build-brief.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/learning-moments-feed.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/next-year-login-readiness.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/one-time-external-user-portal.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/one-time-meeting-drops.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/operations-content-library-taxonomy.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/operations-content-prompt-feedback.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/operations-content-research-section.test.js	Not confidently attributable to the focused release; needs Shloimie review.
E	??	tests/operations-filter-dropdown.test.js	Not confidently attributable to the focused release; needs Shloimie review.
